Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
AVU05480,Porcine epidemic diarrhea virus,GenBank,set:MH013463,MH013463,,"Lara-Romero,R., Martinez-Bautista,R., Cerriteno-Sanchez,J.L., Gomez-Nunez,L., Mendoza-Elvira,S., Ramirez-Mendoza,H., Gonzalez-Martinez,A.R., Rivera-Benitez,J.F.",2018-04-08,,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),1386,,,,spike protein,Mexico,Mexico,,Sus scrofa,abdominal cavity,2015-10-21,,,spike protein [Porcine epidemic diarrhea virus]
AVU05487,Porcine epidemic diarrhea virus,GenBank,set:MH013464,MH013464,,"Lara-Romero,R., Martinez-Bautista,R., Cerriteno-Sanchez,J.L., Gomez-Nunez,L., Mendoza-Elvira,S., Ramirez-Mendoza,H., Gonzalez-Martinez,A.R., Rivera-Benitez,J.F.",2018-04-08,,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),1386,,,,spike protein,Mexico,Mexico,,Sus scrofa,abdominal cavity,2015-10-21,,,spike protein [Porcine epidemic diarrhea virus]
AVU05494,Porcine epidemic diarrhea virus,GenBank,set:MH013465,MH013465,,"Lara-Romero,R., Martinez-Bautista,R., Cerriteno-Sanchez,J.L., Gomez-Nunez,L., Mendoza-Elvira,S., Ramirez-Mendoza,H., Gonzalez-Martinez,A.R., Rivera-Benitez,J.F.",2018-04-08,,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),1386,,,,spike protein,Mexico,Mexico,,Sus scrofa,feces,2017-06-21,,,spike protein [Porcine epidemic diarrhea virus]
AVU05501,Porcine epidemic diarrhea virus,GenBank,set:MH013466,MH013466,,"Lara-Romero,R., Martinez-Bautista,R., Cerriteno-Sanchez,J.L., Gomez-Nunez,L., Mendoza-Elvira,S., Ramirez-Mendoza,H., Gonzalez-Martinez,A.R., Rivera-Benitez,J.F.",2018-04-08,,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),1386,,,,spike protein,Mexico,Mexico,,Sus scrofa,feces,2017-06-21,,,spike protein [Porcine epidemic diarrhea virus]
ATQ39390,Middle East respiratory syndrome-related coronavirus,GenBank,set:MF593268,MF593268,,"Geldenhuys,M., Mortlock,M., Weyer,J., Bezuidt,O., Seamark,E.C.J., Kearney,T., Gleasner,C., Erkkila,T.H., Cui,H., Markotter,W., Seamark,E., Tracy,E.",2018-04-04,,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),1344,,,1,spike protein,South Africa,South Africa,,Laephotis capensis,feces,2015-04-20,,,spike protein [Middle East respiratory syndrome-related coronavirus]
AVR48519,Porcine deltacoronavirus,GenBank,set:MF280390,MF280390,,"Xu,Z., Zhong,H., Zhou,Q., Du,Y., Chen,L., Zhang,Y., Xue,C., Cao,Y., Li,C.",2018-04-02,,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1159,,,1,spike protein,China,China,,Sus scrofa,,2016,,,spike protein [Porcine deltacoronavirus]
AVQ05264,Human coronavirus OC43,GenBank,set:MF314143,MF314143,,"Dinwiddie,D.L., Kennedy,J.L., Schwalm,K.C., Stoner,A.N., Abramo,T.J.",2018-03-31,HCoV-OC43/USA/ACRI_0052/2016,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1362,,,,spike protein,"USA: Little Rock, Arkansas",USA,AR,Homo sapiens,oronasopharynx,2016-03-07,,,spike protein [Human coronavirus OC43]
AVP78031,Bat SARS-like coronavirus,GenBank,set:MG772933,MG772933,,"Hu,D., Zhu,C., Ai,L., He,T., Wang,Y., Ye,F., Yang,L., Ding,C., Zhu,X., Lv,R., Zhu,J., Hassan,B., Feng,Y., Tan,W., Wang,C.",2018-03-28,bat-SL-CoVZC45,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),1246,,,1,spike protein,China,China,,Rhinolophus pusillus,,2017-02,,,spike protein [Bat SARS-like coronavirus]
AVP78042,Bat SARS-like coronavirus,GenBank,set:MG772934,MG772934,,"Hu,D., Zhu,C., Ai,L., He,T., Wang,Y., Ye,F., Yang,L., Ding,C., Zhu,X., Lv,R., Zhu,J., Hassan,B., Feng,Y., Tan,W., Wang,C.",2018-03-28,bat-SL-CoVZXC21,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),1245,,,1,spike protein,China,China,,Rhinolophus pusillus,,2015-07,,,spike protein [Bat SARS-like coronavirus]
AVR40342,Human coronavirus OC43,GenBank,set:MF374983,MF374983,,"Dinwiddie,D.L., Schwalm,K.C., Denson,J.L., Dehority,W.N.",2018-03-27,HCoV-OC43/USA/TCNP_0070/2016,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1358,,,,spike protein,"USA: Albuquerque, New Mexico",USA,NM,Homo sapiens,oronasopharynx,2016-02-01,,,spike protein [Human coronavirus OC43]
AVR40344,Human coronavirus OC43,GenBank,set:MF374985,MF374985,,"Dinwiddie,D.L., Schwalm,K.C., Denson,J.L., Dehority,W.N.",2018-03-27,HCoV-OC43/USA/TCNP_00212/2017,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1360,,,,spike protein,"USA: Albuquerque, New Mexico",USA,NM,Homo sapiens,oronasopharynx,2017-01-17,,,spike protein [Human coronavirus OC43]
AVP25406,Rousettus bat coronavirus HKU9,GenBank,set:MG762674,MG762674,,"Luo,Y., Li,B., Jiang,R.D., Hu,B.J., Luo,D.S., Zhu,G.J., Hu,B., Liu,H.Z., Zhang,Y.Z., Yang,X.L., Shi,Z.L.",2018-03-24,Rousettus spp/Jinghong/2009,Betacoronavirus rousetti,Betacoronavirus,Coronaviridae,ssRNA(+),1265,,,1,spike glycoprotein,China,China,,Rousettus sp.,,2009-11-01,,,spike glycoprotein [Rousettus bat coronavirus HKU9]
AVN88332,Water deer coronavirus,GenBank,set:MG518518,MG518518,,"Kim,J.H., Jang,J.H., Yoon,S.W., Noh,J.Y., Ahn,M.J., Kim,Y., Jeong,D.G., Kim,H.K.",2018-03-21,W17-18,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1364,,,1,spike protein,South Korea: Chungnam,South Korea,,Hydropotes inermis,,2017-02-24,,,spike protein [Water deer coronavirus]
AVM41569,Swine acute diarrhea syndrome coronavirus,GenBank,set:MG557844,MG557844,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Ma,J.",2018-03-18,SADS-CoV/CN/GDWT/2017,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,2017-04,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
AVM80439,Swine acute diarrhea syndrome coronavirus,GenBank,set:MF094681,MF094681,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,FarmA,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
AVM80448,Swine acute diarrhea syndrome coronavirus,GenBank,set:MF094682,MF094682,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,FarmB,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
AVM80457,Swine acute diarrhea syndrome coronavirus,GenBank,set:MF094683,MF094683,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,FarmC,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
AVM80466,Swine acute diarrhea syndrome coronavirus,GenBank,set:MF094684,MF094684,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,FarmD,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
AVM80475,Swine acute diarrhea syndrome related coronavirus,GenBank,set:MF094685,MF094685,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,8462,Swine acute diarrhea syndrome related coronavirus,,Coronaviridae,ssRNA(+),1138,,,1,spike glycoprotein,China,China,,Rhinolophus,,,,,spike glycoprotein [Swine acute diarrhea syndrome related coronavirus]
AVM80484,Swine acute diarrhea syndrome related coronavirus,GenBank,set:MF094686,MF094686,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,8495,Swine acute diarrhea syndrome related coronavirus,,Coronaviridae,ssRNA(+),1138,,,1,spike glycoprotein,China,China,,Rhinolophus,,,,,spike glycoprotein [Swine acute diarrhea syndrome related coronavirus]
AVM80492,Swine acute diarrhea syndrome related coronavirus,GenBank,set:MF094687,MF094687,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,141388,Swine acute diarrhea syndrome related coronavirus,,Coronaviridae,ssRNA(+),1131,,,1,spike glycoprotein,China,China,,Rhinolophus,,,,,spike glycoprotein [Swine acute diarrhea syndrome related coronavirus]
AVM80500,Swine acute diarrhea syndrome related coronavirus,GenBank,set:MF094688,MF094688,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,162140,Swine acute diarrhea syndrome related coronavirus,,Coronaviridae,ssRNA(+),1131,,,1,spike glycoprotein,China,China,,Rhinolophus,,,,,spike glycoprotein [Swine acute diarrhea syndrome related coronavirus]
AVM80524,Swine acute diarrhea syndrome coronavirus,GenBank,set:MF769416,MF769416,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,57,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,2017,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
AVM80533,Swine acute diarrhea syndrome coronavirus,GenBank,set:MF769417,MF769417,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,31,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,2017,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
AVM80542,Swine acute diarrhea syndrome coronavirus,GenBank,set:MF769418,MF769418,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,207,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,2017,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
AVM80551,Swine acute diarrhea syndrome coronavirus,GenBank,set:MF769419,MF769419,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,197,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,2017,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
AVM80560,Swine acute diarrhea syndrome coronavirus,GenBank,set:MF769420,MF769420,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,246,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,2017,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
AVM80569,Swine acute diarrhea syndrome coronavirus,GenBank,set:MF769421,MF769421,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,211,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,2017,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
AVM80578,Swine acute diarrhea syndrome coronavirus,GenBank,set:MF769422,MF769422,,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",2018-03-18,203,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1130,,,1,spike glycoprotein,China,China,,Sus scrofa,,2017,,,spike glycoprotein [Swine acute diarrhea syndrome coronavirus]
